137 1690
97 109 99
99 122 83
72 112 9
114 131 48
17 66 10
31 78 38
3 93 91
1 133 1
68 69 73
69 75 22
97 113 64
46 58 54
39 84 8
50 90 13
57 88 68
71 90 94
59 105 42
8 24 82
96 135 23
14 55 99
81 92 74
2 106 50
9 95 96
13 90 25
51 116 95
13 112 8
4 29 8
56 62 66
63 82 64
54 76 89
52 135 99
74 124 6
26 89 59
65 103 67
46 113 4
19 80 2
64 132 52
39 83 12
5 64 14
19 84 28
36 43 47
61 123 63
39 67 96
81 83 26
73 86 31
36 72 31
58 133 53
4 62 53
18 22 61
16 125 47
18 29 67
91 119 14
95 132 53
93 126 51
2 119 50
114 115 62
43 124 65
101 117 29
116 126 47
50 93 85
45 95 38
18 119 97
53 60 57
48 60 75
3 16 12
60 92 66
40 68 60
38 77 94
52 95 78
23 68 1
25 91 64
87 101 88
33 54 75
30 77 11
25 99 73
2 35 81
11 123 36
13 105 83
118 128 59
57 109 86
37 50 89
110 129 94
4 57 39
36 118 100
24 48 22
28 42 69
72 94 10
15 43 14
57 112 88
97 135 55
97 130 95
40 49 79
29 44 79
70 91 10
33 106 48
94 99 38
2 16 28
24 88 6
104 136 6
16 45 41
98 125 30
56 119 92
65 71 21
82 124 22
89 124 35
28 126 87
74 93 53
98 106 30
37 74 23
37 63 55
15 52 33
10 65 87
64 117 61
38 74 75
7 115 86
89 120 86
28 47 54
25 32 77
15 88 57
34 52 25
61 129 89
68 116 58
25 38 34
19 62 27
84 137 26
4 92 47
54 94 58
17 57 35
28 78 10
60 96 77
13 40 36
18 40 84
76 118 100
39 96 38
29 72 75
38 85 52
60 84 11
92 96 53
45 74 93
66 89 48
78 116 85
50 125 71
58 67 17
16 65 41
96 122 92
40 83 2
66 113 33
26 55 51
82 86 51
45 86 36
31 111 54
51 131 39
51 66 14
13 61 33
41 87 16
64 89 42
87 129 63
41 137 2
34 90 97
12 55 90
116 125 49
17 65 68
127 128 54
13 48 39
1 77 11
22 48 96
14 54 100
99 111 93
71 98 72
55 58 25
26 83 84
71 96 69
98 109 87
98 100 10
28 90 64
14 33 87
7 127 94
63 112 50
55 109 55
22 31 84
109 132 15
15 125 79
6 25 41
51 92 25
33 92 29
21 87 73
66 121 62
77 126 48
42 51 15
17 47 91
20 87 49
5 129 76
76 131 30
9 117 6
53 64 56
80 95 79
30 106 65
38 112 75
31 32 4
92 110 54
88 115 92
69 72 74
28 104 73
73 94 60
5 60 42
13 76 54
84 126 79
17 49 36
36 45 36
103 112 71
39 98 76
30 104 22
20 133 86
113 129 38
9 94 9
6 53 25
45 92 14
70 104 19
39 103 72
33 78 21
2 52 40
4 112 41
93 117 82
28 57 14
14 93 68
41 57 44
30 37 94
16 20 57
29 78 1
69 129 58
61 100 93
5 135 87
27 95 72
18 59 26
2 90 52
47 135 28
3 42 27
37 81 25
64 84 88
39 92 88
96 115 41
3 91 75
37 59 58
4 79 23
41 95 90
52 77 88
8 93 96
31 38 71
25 55 35
79 101 26
112 125 5
59 76 42
83 112 100
105 125 72
97 100 100
5 79 29
50 124 24
1 32 100
65 126 57
86 96 49
56 96 70
44 105 12
19 25 87
65 131 57
40 121 77
34 72 55
50 97 60
8 92 3
93 111 6
87 132 86
27 124 51
30 50 2
54 132 89
61 117 42
122 131 68
18 130 23
92 131 2
36 137 89
44 49 4
41 131 44
18 69 92
8 85 37
51 127 56
18 32 59
22 113 64
68 98 36
94 114 97
1 116 91
86 128 1
123 135 10
2 62 73
70 129 27
42 124 76
3 61 83
24 59 75
99 100 83
44 130 27
74 97 91
20 107 44
103 126 66
34 80 38
18 108 23
7 112 93
22 98 53
25 58 75
26 124 29
11 92 16
102 103 43
56 83 49
104 119 2
3 15 20
109 116 80
70 133 60
69 82 90
47 136 15
2 100 37
35 56 85
80 87 58
116 120 63
49 112 53
9 102 18
19 126 34
53 79 95
30 54 70
24 66 27
55 104 29
54 121 13
49 85 17
60 66 62
1 127 18
84 95 8
2 117 68
47 109 46
5 63 94
15 84 45
10 119 43
85 89 71
78 104 14
96 99 47
78 106 61
86 97 63
75 100 98
38 52 72
46 74 90
80 97 55
28 46 32
42 77 55
32 37 74
21 93 25
43 132 88
31 95 44
66 104 69
9 65 50
97 110 11
40 136 5
71 82 15
1 65 7
28 60 40
55 136 31
18 132 77
15 91 21
21 131 24
72 118 25
13 102 57
44 128 17
86 90 95
30 61 22
44 51 11
11 24 36
115 130 45
25 82 84
13 50 51
124 137 92
44 90 88
63 122 6
32 93 48
2 44 94
122 136 78
18 88 78
80 114 93
63 125 62
105 119 34
45 114 31
8 78 45
31 86 64
60 68 89
86 114 52
40 84 7
32 63 73
24 45 100
28 36 2
95 100 91
20 25 58
15 121 59
59 99 20
20 124 43
11 79 100
49 66 73
11 36 7
38 98 51
43 51 65
26 29 94
73 125 36
36 97 75
56 97 19
36 48 33
79 134 18
79 86 34
37 91 22
1 89 7
16 118 61
8 84 8
2 96 23
40 119 83
34 131 78
75 126 82
19 102 30
45 101 75
43 126 55
99 125 89
41 81 40
20 110 43
18 37 26
49 86 70
69 78 77
4 71 71
61 63 74
34 99 31
39 75 32
13 106 16
53 69 74
38 106 43
14 22 36
57 89 57
16 84 76
33 135 80
38 123 45
8 21 22
93 115 52
112 121 50
22 65 86
43 115 73
13 67 93
6 76 9
36 93 94
73 96 31
46 135 20
32 44 94
80 99 6
36 102 65
65 83 16
56 88 94
41 126 51
68 96 97
26 39 41
9 52 96
102 136 58
66 71 97
21 86 38
2 36 43
48 91 92
85 128 28
1 85 41
84 110 84
32 39 4
6 73 52
15 47 1
17 90 91
18 89 45
43 68 92
68 91 8
42 48 38
78 132 14
15 46 74
53 101 77
32 88 73
16 117 74
44 92 35
36 74 72
39 44 83
18 96 49
43 130 77
91 128 48
52 78 24
37 106 39
37 57 72
52 100 8
103 127 1
16 105 86
89 117 28
6 29 26
61 64 87
41 111 46
15 39 37
60 76 8
21 137 59
114 120 12
104 134 42
3 67 2
22 128 56
86 126 53
78 131 24
19 114 68
16 85 91
85 127 80
53 78 20
17 127 27
113 135 17
10 62 84
58 134 86
51 89 90
50 67 84
66 136 85
2 23 92
29 105 21
49 115 63
14 63 82
2 75 44
50 75 79
16 23 30
56 106 75
4 37 14
59 100 91
11 30 61
48 131 62
31 132 62
30 98 97
5 120 37
15 64 13
37 41 70
94 120 72
31 105 45
3 129 81
27 31 73
27 83 94
67 130 2
67 114 50
12 63 44
53 113 16
23 77 44
30 47 40
26 122 13
23 29 3
67 111 3
33 59 43
23 135 12
107 133 87
32 52 64
45 55 71
87 107 25
4 30 30
36 135 54
8 41 89
17 44 81
95 133 6
28 43 96
80 137 90
48 53 97
23 35 87
64 101 58
34 77 27
130 137 70
23 122 11
32 94 46
94 117 27
18 80 25
55 93 79
88 92 84
41 88 38
60 110 16
75 118 56
8 18 26
21 63 7
123 124 67
84 127 28
39 124 68
67 101 7
64 123 90
49 129 12
8 120 52
35 42 9
43 83 51
77 78 53
109 120 25
84 122 77
92 98 23
2 50 48
18 92 80
14 90 24
96 104 15
55 81 65
45 80 31
100 107 34
21 118 69
40 113 58
18 38 65
95 122 86
7 25 55
57 91 41
9 45 31
13 17 39
81 126 29
19 135 84
50 134 53
8 15 26
58 97 51
14 57 17
71 89 37
55 72 33
18 41 85
32 38 1
26 133 11
28 79 72
61 115 30
31 121 33
95 106 56
76 122 2
120 127 28
30 122 62
90 98 69
17 35 10
39 41 61
30 116 39
93 100 36
25 67 20
77 89 61
41 93 39
37 136 38
94 96 30
75 137 76
22 99 63
5 17 97
12 27 71
93 132 64
27 28 92
14 100 7
11 114 47
16 120 4
59 81 72
23 41 68
54 119 6
22 82 46
72 82 72
49 98 7
25 107 16
122 133 45
94 129 89
95 104 1
1 74 62
52 75 67
1 33 23
33 100 87
35 90 51
77 84 24
22 103 76
35 133 81
27 76 42
31 63 30
10 69 12
7 22 6
20 116 6
8 98 12
116 129 6
41 44 64
45 129 13
90 130 60
6 35 29
48 111 25
107 108 94
23 31 76
14 84 46
57 106 19
62 95 64
17 43 76
36 121 79
24 40 42
71 77 80
17 106 4
45 111 94
46 107 84
67 74 56
65 98 26
20 85 92
8 135 57
65 68 67
103 105 67
33 112 98
13 94 48
71 122 32
29 74 92
24 99 25
78 110 46
51 129 18
28 109 98
33 105 34
61 92 15
4 24 31
111 122 83
85 137 38
86 98 45
19 116 30
14 31 31
111 119 64
107 123 76
33 46 55
11 89 6
70 102 42
39 137 75
115 128 75
48 120 85
126 130 12
79 103 85
30 111 44
35 106 92
10 104 83
76 91 66
55 129 43
2 73 70
49 64 87
18 60 77
41 76 92
45 57 8
30 41 94
5 136 93
12 92 55
15 26 20
30 115 41
62 68 94
8 81 22
48 52 38
43 50 16
64 121 40
31 61 65
64 135 61
84 94 92
45 93 94
63 76 15
64 127 37
38 116 86
77 115 68
74 99 52
92 100 72
86 133 40
105 136 6
131 135 45
63 73 68
8 130 3
31 76 95
83 101 70
105 124 45
23 123 18
34 84 97
9 127 38
66 119 42
115 118 33
52 69 30
58 82 50
98 113 64
3 23 90
9 109 9
41 113 55
29 50 72
58 62 3
116 132 21
13 96 12
31 56 43
56 64 85
54 103 35
74 129 3
37 43 40
39 79 97
23 76 6
79 121 47
85 90 63
64 131 91
67 79 64
93 114 66
10 22 2
1 93 48
74 136 82
72 106 67
8 115 88
48 80 28
40 125 38
5 134 55
93 96 73
35 102 97
18 131 50
22 56 58
106 110 10
25 111 7
6 72 77
35 45 39
58 108 28
4 105 3
61 137 86
13 108 52
96 98 50
78 99 30
25 96 52
85 112 19
24 133 51
24 125 40
68 97 68
19 100 3
19 132 78
36 44 67
15 50 55
7 131 3
10 94 28
