989 177466
335 381 223
39 683 297
447 793 769
184 914 59
406 975 885
71 643 328
852 981 559
28 839 436
104 424 447
466 686 969
284 420 491
449 710 839
102 597 62
20 284 473
353 583 2
541 858 167
190 843 135
367 793 136
486 916 357
605 779 587
328 841 759
631 792 762
563 685 533
46 959 47
263 961 574
86 486 440
429 555 558
277 612 501
480 825 55
351 784 962
312 477 992
168 470 957
551 706 952
238 296 855
628 797 224
88 530 400
556 830 1
350 908 51
29 565 713
256 956 153
212 700 900
559 565 654
54 783 802
370 611 935
192 483 263
639 697 813
275 738 950
648 785 954
558 952 962
442 932 600
242 450 590
528 791 85
63 944 241
34 564 745
591 934 466
65 425 161
321 780 926
890 971 222
52 201 421
603 936 2
112 685 345
201 370 919
342 682 661
176 742 583
566 701 712
58 203 850
483 887 136
152 793 123
341 667 475
365 591 482
9 657 455
237 868 922
391 397 570
541 713 740
495 604 575
325 340 273
505 987 995
453 566 713
857 881 960
220 524 30
440 966 93
177 509 742
127 329 831
782 796 664
277 931 176
299 391 544
328 542 17
200 850 600
92 482 551
370 734 987
177 952 866
102 535 745
318 641 97
214 825 996
438 713 193
289 327 517
466 531 590
412 667 198
13 241 118
488 684 422
190 382 959
819 835 626
732 790 839
427 740 981
443 707 116
22 751 139
155 403 801
34 203 903
394 541 505
522 661 860
154 620 630
635 668 830
36 593 893
527 561 553
105 671 724
603 959 960
82 981 485
86 969 535
156 614 181
56 441 282
121 129 213
797 969 593
347 764 73
283 975 161
244 831 624
247 353 100
178 780 578
539 579 536
372 641 69
55 95 485
643 970 153
441 605 403
336 691 301
130 257 197
789 878 7
321 726 247
368 901 802
80 867 658
571 697 546
598 670 158
253 519 718
582 630 5
8 628 394
220 900 658
49 791 530
377 650 789
51 523 915
183 813 684
563 676 104
490 898 869
655 848 95
142 600 4
297 475 161
2 313 99
682 844 462
143 278 828
127 320 920
148 749 553
241 695 71
34 895 68
507 892 727
361 520 248
557 650 443
521 892 358
522 621 736
807 959 495
219 534 288
274 364 585
100 939 514
537 890 904
441 923 396
92 100 804
324 368 326
213 575 624
381 596 422
128 557 622
423 809 733
570 804 365
619 772 145
141 570 264
21 726 758
533 587 456
530 952 427
439 922 642
7 168 959
657 882 766
161 383 972
717 882 472
170 353 633
30 310 476
228 653 752
61 476 561
837 857 9
594 956 594
194 876 985
91 402 806
115 402 734
375 969 190
290 833 296
283 364 237
814 922 223
270 941 214
108 881 526
395 790 46
195 749 787
374 689 840
80 483 951
618 818 198
278 734 251
557 761 639
262 574 478
142 765 669
243 368 614
199 762 298
8 278 318
615 681 783
398 905 147
452 790 288
283 985 308
25 207 992
325 954 340
134 878 218
562 974 54
7 118 452
224 710 880
541 646 617
54 871 660
159 463 855
488 799 783
188 482 148
343 357 36
616 798 873
390 948 874
99 120 638
281 722 909
229 688 81
405 626 450
144 685 156
329 491 168
390 481 328
374 431 498
751 897 660
412 598 911
7 688 154
735 773 934
22 730 877
790 936 577
694 773 855
662 691 203
287 871 311
468 697 1000
540 657 743
139 814 525
247 277 628
168 398 939
293 939 364
220 307 759
289 534 597
727 743 597
207 636 91
453 530 314
299 595 222
153 196 118
189 872 916
349 689 519
527 940 380
398 907 721
651 830 980
409 546 934
399 787 930
145 493 615
430 784 744
310 563 101
141 709 752
32 244 429
834 929 844
77 793 202
215 719 807
366 613 878
49 331 889
286 744 403
44 186 385
298 908 905
630 767 964
199 276 261
586 959 626
545 701 475
90 322 995
720 919 772
65 800 173
858 968 520
210 423 391
58 346 989
45 537 23
300 928 165
237 929 526
397 540 27
249 775 341
197 410 427
404 456 115
488 606 853
724 899 658
67 439 773
613 861 534
501 631 167
151 448 23
484 821 991
244 260 664
145 609 195
178 789 229
931 954 598
428 864 50
168 205 395
502 787 871
668 745 782
488 607 278
173 952 47
400 573 972
123 363 231
187 580 293
261 458 271
538 897 679
757 926 75
116 280 946
319 621 694
119 488 587
646 873 3
6 908 835
180 554 363
620 741 66
811 971 621
44 101 532
207 594 769
103 552 850
58 201 681
101 768 257
5 276 875
304 637 934
288 540 258
359 432 347
307 313 16
9 294 302
322 520 279
161 514 284
771 810 96
152 707 949
80 153 784
105 345 745
175 190 674
680 803 499
163 272 848
418 779 248
193 825 761
375 769 251
116 968 485
585 817 529
137 829 831
279 307 282
208 557 962
268 809 121
621 631 715
771 878 356
392 432 992
316 839 520
186 767 304
126 528 232
257 595 351
145 840 674
661 955 883
560 850 578
284 557 378
634 744 139
198 531 229
129 153 430
532 980 819
121 308 507
30 968 83
11 722 217
477 762 789
40 110 924
468 862 538
410 556 757
141 542 24
164 986 928
4 129 447
602 912 859
354 847 843
372 581 829
490 551 553
160 861 270
346 491 89
303 650 284
122 882 429
62 167 575
478 805 34
153 719 881
762 839 874
183 920 754
80 96 284
702 909 6
202 971 677
746 807 501
690 831 474
30 162 486
426 786 190
265 884 774
337 787 830
388 664 23
393 416 312
223 332 561
181 989 205
419 849 188
722 889 999
312 527 30
404 601 818
384 495 391
558 804 204
505 904 579
174 528 590
353 648 396
188 499 473
162 903 848
7 278 937
3 366 164
261 768 25
261 792 785
10 202 920
764 911 413
353 485 270
246 619 325
241 591 373
340 597 812
439 551 971
106 489 455
439 556 40
643 727 555
267 372 806
344 446 476
266 725 60
551 667 579
649 751 612
126 401 792
171 910 214
241 760 341
232 893 427
208 461 970
314 747 620
71 864 56
25 784 128
74 79 497
762 929 392
447 728 844
156 313 249
556 722 342
131 496 465
215 441 49
517 794 91
238 909 960
579 876 557
331 606 767
45 837 134
739 821 572
447 833 692
53 616 654
68 192 890
723 733 554
325 570 580
78 270 558
403 691 851
428 858 850
285 539 983
477 511 885
206 381 672
371 884 994
178 354 470
171 433 726
70 845 145
3 282 759
185 957 574
337 571 132
405 713 585
332 833 509
580 664 677
5 518 357
430 873 201
580 714 93
87 959 527
124 359 13
282 698 260
222 292 550
308 624 46
171 535 966
405 510 845
758 951 586
49 65 332
119 780 851
552 594 247
476 484 371
589 599 47
136 566 51
246 443 292
127 686 892
308 339 262
176 233 206
126 245 204
76 931 298
674 907 165
406 659 695
300 821 143
668 925 578
828 909 379
705 786 319
292 911 372
435 473 778
320 582 424
41 232 363
166 657 520
742 882 221
830 876 782
590 816 864
630 742 408
314 678 341
449 818 414
640 875 156
239 916 439
383 813 344
260 269 597
502 772 271
58 167 946
157 899 874
532 691 97
503 683 842
367 894 6
83 212 781
280 938 18
360 816 651
494 773 18
322 435 562
265 960 130
135 620 149
391 661 546
344 535 949
59 413 552
16 592 918
186 334 49
807 823 224
251 687 345
293 373 410
98 848 373
238 529 720
232 704 278
682 849 546
233 404 936
69 302 407
98 182 483
99 101 138
447 508 139
874 896 932
99 795 292
135 676 250
519 570 178
823 877 782
475 634 499
497 575 424
182 286 390
195 928 194
749 917 997
21 233 789
576 798 351
54 342 590
99 252 726
489 679 782
228 265 298
455 694 622
12 632 872
611 708 701
537 856 903
98 207 927
250 338 504
248 385 80
292 427 426
246 900 481
596 691 690
602 701 930
223 886 298
372 590 10
857 907 190
644 795 189
155 680 891
430 790 154
275 832 18
216 268 165
194 722 764
17 387 16
12 924 157
201 963 985
622 868 745
467 488 384
772 882 492
220 235 93
584 890 168
327 530 868
671 903 955
132 178 867
244 521 850
172 633 870
32 707 953
169 897 557
404 777 370
324 627 491
666 949 508
664 792 118
471 839 604
60 287 526
30 490 699
244 869 946
529 710 142
203 616 508
139 677 730
127 605 546
276 493 352
456 460 221
355 570 726
323 724 164
263 735 654
423 868 675
525 849 539
98 420 610
51 345 755
526 989 117
234 384 348
58 783 782
172 559 36
473 515 671
217 795 392
353 968 463
705 845 807
55 745 598
8 74 180
115 734 410
355 461 45
340 603 90
206 807 952
251 863 312
377 633 11
203 858 296
216 367 694
145 289 820
307 330 484
50 743 717
428 596 450
13 619 162
604 620 460
161 299 150
506 972 459
412 490 373
139 581 870
519 875 746
173 708 213
224 297 11
65 599 158
232 268 822
14 854 369
239 840 595
828 906 209
539 772 165
357 807 918
111 162 910
711 838 908
697 900 838
396 938 311
445 690 98
274 982 712
626 630 402
5 730 899
48 273 609
170 531 394
49 856 485
93 489 902
245 384 553
157 904 105
525 891 842
281 383 219
111 547 504
448 716 183
107 511 426
11 566 671
167 297 739
440 890 535
353 818 203
194 737 890
159 715 474
294 469 837
58 982 661
386 421 619
590 880 142
299 571 387
234 471 816
608 872 991
85 362 2
303 452 32
17 907 808
290 608 1
217 702 634
583 943 580
10 900 744
119 549 304
390 520 779
712 808 509
73 276 109
478 922 389
744 827 535
370 623 509
273 803 304
139 587 359
746 878 283
234 862 705
244 245 532
690 903 933
198 250 197
296 536 15
224 883 288
243 745 202
45 377 537
233 306 280
251 989 933
62 416 832
224 829 407
234 400 686
137 848 839
374 597 174
309 507 735
246 287 367
71 503 136
81 190 491
13 167 938
250 691 660
823 989 138
73 362 704
484 601 991
385 596 615
359 437 4
360 913 797
540 702 6
346 560 555
144 689 646
234 906 223
599 740 441
178 597 546
36 936 440
31 675 760
373 464 120
516 711 750
483 796 90
140 699 989
430 647 483
577 662 929
58 684 253
759 846 784
172 182 839
325 454 978
353 510 28
188 244 881
174 430 427
424 887 432
132 600 899
448 521 170
62 448 278
506 962 991
502 603 615
333 344 536
30 902 477
112 777 192
404 951 245
148 596 494
160 496 264
628 812 249
714 876 658
392 663 876
693 836 543
37 731 581
98 264 829
882 975 399
21 945 822
486 699 119
456 915 304
11 776 811
679 720 975
363 447 626
239 869 634
409 595 940
643 915 669
333 658 51
604 658 177
855 856 614
177 422 231
533 737 936
566 907 835
306 724 53
599 890 648
14 202 744
351 757 609
57 873 567
258 446 124
118 251 401
628 854 822
358 930 273
336 391 497
29 691 497
104 908 616
59 610 437
400 457 597
98 429 511
6 539 122
88 657 486
316 803 798
97 430 446
229 242 961
371 800 675
67 245 326
111 769 139
826 941 202
680 841 658
199 796 765
307 352 396
150 724 252
12 878 710
663 692 821
169 381 815
29 472 653
184 912 33
184 885 768
705 972 255
124 282 470
138 624 897
674 912 889
222 559 78
234 419 181
408 610 108
315 773 450
209 382 821
5 873 16
124 725 462
167 622 20
719 986 763
238 554 41
484 915 464
902 917 805
494 570 950
564 843 482
653 658 931
796 889 914
134 642 748
872 939 797
422 927 57
58 422 510
372 414 853
67 390 293
455 976 300
16 425 384
65 871 556
958 970 504
88 191 829
586 840 426
44 289 540
495 660 974
512 741 73
430 436 195
587 623 272
632 809 439
608 626 706
361 807 70
239 442 970
547 960 235
563 673 784
423 767 350
317 745 960
265 323 912
308 619 446
348 357 375
230 445 375
233 387 960
712 918 229
421 466 54
5 194 548
753 830 866
200 407 819
876 912 498
285 474 366
53 786 191
618 872 96
318 589 521
287 851 334
700 816 847
120 280 895
318 896 71
360 468 865
574 940 149
308 550 565
867 902 947
587 915 875
38 838 545
405 949 876
28 968 471
526 580 495
792 961 604
568 597 967
292 426 581
44 323 931
39 937 11
946 973 379
229 383 783
82 962 436
347 937 912
194 333 495
48 390 364
579 648 511
271 951 339
296 970 495
292 705 803
13 607 371
71 856 995
92 143 356
704 989 718
166 250 627
55 99 95
85 923 997
289 561 455
495 985 711
40 403 933
286 670 371
627 729 935
327 536 265
298 495 904
9 933 586
784 785 21
704 916 200
207 396 780
47 798 721
362 907 77
53 282 738
418 419 323
344 529 516
508 685 770
580 822 633
92 553 350
700 860 203
325 682 482
726 879 468
585 818 691
213 619 965
187 213 248
165 580 520
260 441 259
20 500 412
426 564 624
146 706 489
47 367 658
589 865 725
253 682 536
749 845 708
473 817 889
635 796 372
381 917 973
601 822 263
183 934 310
70 301 320
439 836 114
200 835 579
304 311 620
518 901 898
404 974 689
546 673 542
518 619 928
250 755 788
511 535 441
391 921 411
184 411 385
10 214 314
588 617 634
307 493 328
744 853 17
75 838 199
389 568 505
541 760 679
388 587 681
323 679 304
137 902 385
107 207 726
507 760 399
372 947 57
212 898 128
496 594 902
437 763 695
240 812 538
641 897 639
699 816 417
266 626 938
170 327 586
537 934 755
288 557 79
197 791 436
443 851 334
545 783 92
549 771 245
603 887 92
300 838 461
86 798 944
735 972 689
119 572 43
537 650 959
146 476 879
438 609 622
101 455 789
154 302 33
322 844 714
685 713 275
97 489 241
202 291 757
134 809 457
324 740 282
9 289 136
133 626 75
363 983 455
464 737 844
665 774 651
650 901 890
424 964 857
48 759 560
711 844 277
121 476 625
164 351 132
14 501 147
190 888 221
323 633 727
25 812 353
393 616 423
105 222 161
561 765 900
421 519 961
412 570 780
242 790 513
301 821 391
165 704 769
14 499 466
332 662 103
129 937 23
205 318 231
16 845 258
459 593 581
81 230 490
184 319 776
436 833 82
212 980 722
678 952 457
596 647 211
688 889 439
292 789 578
366 929 95
544 934 229
253 362 705
475 802 85
276 315 692
226 683 494
21 906 957
242 298 637
199 767 415
47 760 701
141 430 787
245 903 953
674 882 899
844 949 625
18 151 205
368 372 284
6 514 670
769 936 380
615 631 125
454 766 744
207 806 598
4 661 47
296 363 72
9 731 337
167 589 957
281 328 93
399 427 826
129 522 763
31 195 658
288 403 610
221 819 118
38 154 751
14 27 485
72 158 9
211 772 998
330 347 609
287 418 355
27 32 372
677 908 682
827 963 472
385 882 76
457 902 786
217 436 131
205 302 270
270 602 331
808 908 748
690 757 847
49 974 2
253 787 196
235 738 354
69 190 41
13 762 181
743 924 869
114 210 911
214 473 986
84 420 755
40 101 767
71 924 276
337 619 908
74 205 116
468 584 204
137 769 114
227 589 503
149 874 168
547 870 583
565 926 770
16 169 372
437 698 136
134 582 121
384 757 431
271 850 545
616 745 642
694 700 78
846 863 829
250 881 219
54 593 518
682 686 769
58 137 37
148 736 768
67 187 3
459 982 208
72 867 24
125 617 932
227 931 870
142 685 316
187 538 816
907 978 81
72 596 699
135 655 801
10 503 473
633 865 513
75 870 392
179 614 15
194 966 929
581 744 461
442 889 916
198 713 961
150 942 201
387 912 392
406 504 741
114 221 117
67 454 590
354 611 264
8 914 802
13 714 153
16 317 238
683 755 886
779 801 513
484 912 312
152 484 1000
110 762 274
852 962 813
128 678 872
536 820 652
274 789 953
150 425 188
371 761 72
269 641 51
325 333 307
144 936 101
46 459 775
804 915 239
522 741 152
336 877 636
220 363 861
233 980 534
554 762 60
123 380 115
830 918 123
221 629 533
182 501 540
490 763 366
863 867 464
617 707 681
36 425 489
432 896 426
101 188 338
382 765 376
41 912 80
654 986 974
115 302 113
613 825 704
96 589 727
355 490 118
69 837 147
88 375 955
487 620 933
33 690 535
193 726 798
163 723 574
214 284 876
485 593 319
412 562 597
336 777 312
687 692 744
218 696 541
226 656 834
35 124 505
41 415 272
420 573 100
896 923 865
152 207 143
240 573 247
803 819 672
355 832 153
615 988 339
782 964 30
255 926 68
160 733 182
367 445 181
47 978 993
491 870 407
442 540 486
595 968 125
291 396 852
160 759 194
349 415 421
780 923 451
70 642 997
409 789 48
862 952 131
66 772 823
673 853 963
174 738 453
188 845 996
896 954 536
214 573 395
19 977 31
114 752 201
422 536 231
406 643 134
433 633 109
225 984 621
30 477 906
229 601 244
78 958 599
164 450 684
456 575 834
646 964 852
99 304 666
137 615 436
332 724 527
316 412 551
878 901 738
185 906 98
485 749 412
778 783 37
87 596 261
541 940 69
297 777 666
254 885 920
404 945 344
465 495 272
643 710 663
47 561 255
540 937 395
162 729 218
311 436 517
19 623 51
173 183 386
20 454 632
625 877 17
809 951 779
21 746 257
69 139 142
370 549 520
7 594 404
558 667 623
443 808 581
322 399 389
290 292 316
257 877 630
32 160 937
128 236 585
610 972 143
297 951 245
254 371 465
167 525 584
777 971 457
9 434 816
411 431 636
386 456 726
251 931 810
338 507 394
578 760 472
57 811 581
475 482 517
29 333 70
754 915 127
724 895 475
23 172 724
120 795 714
224 939 522
20 413 47
430 854 915
71 937 401
111 161 728
524 866 952
98 296 386
460 560 699
207 593 350
332 335 319
458 663 965
750 861 832
59 62 468
465 892 166
154 844 816
614 718 743
295 739 494
764 814 705
325 379 762
809 815 811
99 690 525
398 590 484
350 432 293
808 887 467
479 820 197
218 407 612
864 874 590
582 601 41
816 888 641
258 426 488
70 233 245
650 765 803
553 635 452
287 329 267
446 842 482
27 285 994
107 502 972
148 931 945
90 219 511
480 763 505
174 834 924
796 818 582
220 819 57
390 573 853
159 545 584
155 320 738
553 790 610
641 745 323
510 911 295
297 431 683
155 289 788
484 937 115
339 639 25
796 891 461
113 927 529
119 979 390
357 888 934
765 916 974
193 886 423
287 596 907
284 912 393
101 370 423
64 212 62
464 971 511
651 706 994
148 704 640
392 785 932
895 930 538
514 741 231
51 806 295
685 733 357
117 608 883
68 557 12
56 106 776
325 882 917
60 419 269
739 969 484
775 800 895
378 965 983
619 846 583
190 247 163
760 769 241
154 589 44
81 110 149
621 679 340
154 571 48
322 614 460
826 952 305
802 899 932
142 457 233
211 891 938
424 905 807
555 607 115
266 669 465
222 860 666
154 332 123
549 811 806
232 925 300
123 227 414
849 947 869
306 686 453
209 803 868
197 209 772
527 536 16
923 935 58
731 984 967
470 632 754
801 898 324
423 955 980
302 631 686
389 748 604
244 363 576
13 409 659
124 790 957
22 348 279
2 781 290
128 241 491
217 443 483
115 495 786
128 380 246
567 879 895
85 139 787
409 680 578
477 972 326
305 832 350
454 788 886
45 632 964
391 683 176
193 935 537
120 130 867
781 875 30
409 900 552
62 263 882
373 487 315
704 753 148
139 164 379
132 316 42
83 891 746
197 279 179
711 881 196
247 289 557
686 704 98
293 885 932
726 790 193
4 548 262
642 968 635
28 29 805
156 978 812
816 880 801
131 281 711
341 370 375
240 679 85
750 989 68
50 861 247
331 443 586
840 887 531
479 626 220
539 683 862
91 387 304
737 877 804
13 295 762
219 421 391
315 810 311
175 882 979
561 968 160
552 703 654
224 965 993
268 791 500
486 821 654
293 508 151
13 773 114
262 744 858
225 480 910
31 193 579
217 305 742
239 968 712
695 824 382
514 643 911
27 802 213
260 722 596
303 729 23
159 391 879
299 856 227
73 299 484
32 736 945
51 410 493
247 751 852
802 932 463
131 761 494
201 450 726
221 638 498
311 454 725
59 551 913
372 854 677
397 481 761
889 897 488
392 956 976
499 713 481
736 787 496
388 554 264
381 656 848
496 650 851
425 975 574
218 848 993
574 886 874
174 452 409
695 861 226
7 234 58
742 915 719
18 564 664
227 987 667
474 642 713
820 974 745
900 904 477
738 905 539
140 973 609
563 600 339
86 848 523
38 374 427
744 782 733
131 958 860
900 980 861
323 922 418
160 343 473
657 784 957
91 741 491
514 758 784
110 407 2
142 322 140
143 604 101
39 284 233
13 770 946
5 611 756
651 672 210
190 441 223
418 857 65
287 560 287
268 926 986
22 939 558
579 849 848
180 713 322
314 865 309
237 645 15
12 130 88
728 831 109
568 910 966
454 771 721
75 572 321
347 806 768
64 245 757
384 751 420
898 948 476
865 879 571
621 904 771
50 549 159
197 199 431
371 867 103
78 585 127
126 639 604
1 497 524
535 982 588
256 617 373
660 819 882
627 679 45
391 856 832
25 940 24
161 609 150
334 367 689
648 788 681
291 773 313
863 878 373
47 370 635
182 784 932
526 778 374
241 543 690
57 195 214
176 292 621
574 830 888
370 615 899
597 818 692
46 370 570
753 790 673
345 487 197
230 758 93
83 373 777
126 780 1000
591 594 468
597 988 692
49 290 486
169 666 14
187 282 105
94 157 328
478 969 892
381 839 723
98 407 389
457 482 804
411 592 495
7 889 227
222 371 444
464 868 749
186 668 321
182 477 44
279 978 926
445 800 645
108 210 753
737 891 193
300 797 588
75 675 756
382 514 183
861 869 784
101 875 15
141 196 174
397 905 931
342 494 181
147 869 606
782 841 795
469 475 474
249 569 664
160 500 600
559 658 96
109 852 412
141 559 707
623 956 14
341 573 986
260 948 307
403 795 927
149 662 596
384 400 391
307 627 528
348 970 693
568 828 251
480 826 390
729 761 584
218 890 824
773 886 136
483 979 617
353 747 702
411 666 996
468 495 706
21 823 933
178 276 986
6 318 508
423 728 474
631 908 68
249 340 449
601 764 510
253 813 645
902 984 226
891 980 422
252 332 12
676 741 905
645 713 942
455 829 890
621 745 562
142 435 117
327 628 164
542 721 866
195 757 11
265 285 284
327 752 105
86 476 93
232 457 890
162 685 532
501 924 148
613 621 70
82 760 556
108 353 571
256 700 607
145 482 984
360 884 453
78 652 130
536 777 272
465 675 206
225 467 638
41 626 795
572 711 138
204 931 501
644 721 975
529 819 774
312 481 748
267 897 329
79 839 856
18 826 86
607 790 86
346 873 885
619 923 667
423 804 909
837 942 158
920 942 428
154 248 715
492 974 367
317 453 203
306 548 193
694 929 743
52 142 593
375 410 770
89 595 203
107 666 889
61 830 317
126 170 919
424 854 585
298 368 630
712 883 562
618 675 73
469 864 727
165 785 810
532 559 552
65 651 650
386 507 311
474 613 260
137 876 427
271 506 839
158 674 843
688 954 487
206 403 978
129 627 800
160 666 268
503 600 590
364 763 797
851 925 911
238 315 273
299 789 486
198 640 363
8 879 113
595 957 843
64 445 659
379 665 757
314 506 947
374 981 532
829 897 741
41 222 822
639 922 455
212 897 611
479 486 434
271 433 666
154 535 5
300 739 321
138 260 478
153 799 924
308 323 420
800 944 294
616 838 784
35 289 956
384 842 544
48 179 900
73 320 44
278 827 837
91 522 604
416 893 962
341 769 839
526 878 596
189 532 675
139 807 428
854 873 506
49 355 453
90 769 82
572 822 734
45 871 475
423 577 718
201 683 944
813 938 259
116 848 963
849 938 644
182 222 259
395 610 973
328 473 733
149 636 813
758 871 947
105 645 843
120 602 111
445 947 614
61 479 916
245 922 502
485 820 234
350 433 647
262 470 647
249 497 949
534 974 560
131 931 182
12 308 206
120 819 250
265 528 735
132 638 338
57 83 546
229 654 814
438 573 413
297 624 388
194 612 357
160 962 910
53 348 121
726 926 920
293 366 2
895 973 87
821 903 132
306 441 168
399 745 879
547 739 498
12 761 382
810 916 210
368 884 296
586 816 781
215 320 148
620 926 292
590 804 539
323 384 801
254 877 173
187 751 220
31 304 800
617 954 925
473 533 444
90 784 534
87 783 239
92 347 123
20 769 818
581 925 957
439 949 624
556 576 39
36 697 613
76 785 285
588 971 359
87 221 458
20 839 506
5 529 301
556 897 794
50 168 982
397 440 373
657 834 522
299 946 916
401 748 386
708 911 294
365 943 499
756 788 690
356 732 915
447 945 909
20 320 657
243 975 536
625 668 350
903 920 838
131 912 543
262 438 120
84 811 8
532 602 296
284 369 293
41 698 459
388 702 613
926 969 260
159 762 851
41 287 944
41 228 569
866 917 558
294 809 650
329 861 90
312 408 119
692 940 164
335 627 645
450 740 222
223 933 196
280 490 269
771 787 64
305 561 727
356 492 736
222 404 809
60 830 524
519 657 141
70 209 688
403 941 300
477 581 348
695 923 362
14 530 156
63 75 310
250 836 811
221 337 666
406 597 237
639 681 383
277 694 672
72 141 425
576 835 373
756 970 826
376 651 565
370 682 395
646 987 765
212 407 680
327 977 731
22 345 998
63 931 795
1 955 654
389 684 942
477 724 231
483 928 865
835 975 683
101 227 722
833 983 691
483 612 868
803 981 86
554 686 497
371 693 40
31 410 657
676 902 296
448 912 516
273 528 924
341 807 143
48 911 119
220 274 948
103 343 514
692 778 582
38 848 922
558 727 788
816 944 430
26 189 547
385 422 72
84 174 212
174 935 468
639 932 640
98 374 479
91 918 68
124 142 984
590 707 884
588 791 713
134 980 391
23 706 730
566 842 833
867 919 262
299 832 524
113 905 393
280 353 465
306 726 27
359 873 66
557 705 793
186 575 286
495 801 185
77 227 623
798 900 249
213 639 999
797 833 285
455 594 682
309 486 443
245 818 258
347 360 141
9 658 139
41 681 348
794 966 32
37 335 686
369 762 551
215 656 519
28 551 41
103 773 113
110 690 270
250 835 983
706 918 879
242 478 798
109 599 527
645 821 41
120 250 563
713 986 940
31 883 164
332 731 794
99 875 906
27 920 992
78 132 550
49 407 324
285 798 129
106 745 58
373 981 728
1 523 982
113 544 977
327 941 222
187 810 378
85 379 361
83 883 676
